,Instance,Model,X,Y,R_sq_log,Score
0,LLEE7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.07615029 -0.23311152]
 [ 0.05380805 -0.25525711]
 [ 0.02896805 -0.27459884]
 ...
 [ 0.31380172  0.40167082]
 [ 0.34522202  0.4041027 ]
 [ 0.37664412  0.40201053]]","[[9.13563262]
 [8.23524759]
 [8.50428811]
 ...
 [9.48916545]
 [9.03174256]
 [9.69572058]]",2.047146999626217
1,LLEE7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.27793245 -0.22976527]
 [ 0.24978129 -0.26774946]
 [ 0.21819099 -0.30316787]
 ...
 [ 0.22935584  0.70350557]
 [ 0.23709214  0.73352752]
 [ 0.24483519  0.76392052]]","[[8.89819977]
 [9.6246472 ]
 [9.02167212]
 ...
 [4.820682  ]
 [5.59042382]
 [8.29162325]]",1.748823183713393
2,LLEE7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.0692297  -0.06011808]
 [ 0.07389684 -0.08531517]
 [ 0.08097523 -0.1117668 ]
 ...
 [ 0.26368302  0.37174514]
 [ 0.24684411  0.39868368]
 [ 0.22838511  0.42428492]]","[[5.38230404]
 [0.18389862]
 [5.42484037]
 ...
 [3.57044529]
 [2.19352217]
 [5.56249132]]",1.693206257990735
3,LLEE7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 23.16875916 -35.92728729]
 [ 23.94092139 -34.96330176]
 [ 24.74926318 -33.94479689]
 ...
 [-30.58300885  29.8087455 ]
 [-31.19297109  30.84225652]
 [-31.73820868  31.8029335 ]]","[[0.0582083 ]
 [0.03219402]
 [0.01694293]
 ...
 [0.05727947]
 [0.01022512]
 [0.13807812]]",0.2562160860432481
4,LLEE7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 6.35606555e-01  5.22100501e+00]
 [ 1.42764156e-01  4.87702731e+00]
 [-1.84744358e-03  4.81152881e+00]
 ...
 [-2.23063845e+00  2.04941669e+01]
 [-2.23730810e+00  2.06985649e+01]
 [-2.16053163e+00  2.08425941e+01]]","[[9.65921928]
 [7.32829514]
 [9.76327689]
 ...
 [1.33100941]
 [1.8390134 ]
 [2.34158548]]",1.2890811627328176
5,LLEH7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.25564533 -0.05349628]
 [ 0.2521853  -0.08501799]
 [ 0.24501574 -0.11594684]
 ...
 [-0.26902779  0.18949287]
 [-0.24609224  0.21143412]
 [-0.22030811  0.22984885]]","[[10.68719298]
 [12.56784763]
 [13.01229704]
 ...
 [ 5.37476297]
 [ 7.10703432]
 [ 4.85926395]]",2.078425021700481
6,LLEH7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.31406733 -0.0596848 ]
 [ 0.30922449 -0.03969127]
 [ 0.31040388 -0.003446  ]
 ...
 [-0.40777484 -0.08423571]
 [-0.38822336 -0.11937043]
 [-0.35694993 -0.15973961]]","[[17.51931583]
 [13.45973131]
 [12.11684483]
 ...
 [ 5.46317927]
 [ 7.9362083 ]
 [ 5.43078382]]",1.8911093380274622
7,LLEH7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.06008721 -0.10086548]
 [ 0.06811283 -0.13128934]
 [ 0.07940556 -0.16046926]
 ...
 [ 0.49327178  0.2324528 ]
 [ 0.4690972   0.24997683]
 [ 0.44289045  0.26352132]]","[[ 7.21339402]
 [ 5.11393818]
 [ 6.68525988]
 ...
 [ 7.82205927]
 [ 6.78515395]
 [16.08878878]]",1.9568409809927976
8,LLEH7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-36.45661659  -1.06486535]
 [-35.08885048  -2.97096832]
 [-33.17869338  -5.62410177]
 ...
 [ 35.87749607 -13.3363912 ]
 [ 37.76008675 -12.11839144]
 [ 39.85371532 -10.04269953]]","[[0.13990492]
 [0.01799923]
 [0.00583595]
 ...
 [0.15138547]
 [0.50951932]
 [0.37772929]]",0.6572651402768871
9,LLEH7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 4.50088761  5.86038449]
 [ 4.28880489  6.34295013]
 [ 4.1811399   6.55802168]
 ...
 [-6.12528126  2.92502154]
 [-6.41925221  2.81000672]
 [-6.68896339  2.74461236]]","[[6.75982937]
 [5.17744746]
 [9.4988995 ]
 ...
 [4.1021524 ]
 [1.30843282]
 [1.58943578]]",1.470331876897344
